id,ad_id,session_id,user_ip,timestamp
1870,1,10f40ec0d139b66048a73509b7c17057,89.138.138.62,1215613081
1871,3,23e3e9c9da989801e3fbcf569c55cad1,79.178.109.128,1215613410
1872,3,fe35dc1e078eb62e3736acf89ccfb49c,217.194.206.247,1215613887
1873,3,0dfb746e1a939339a135910070db9bf3,85.250.196.23,1215614347
1874,3,a4d8f6f553257e7db460c548c2e900c0,132.66.124.90,1215614891
1875,3,cee74f1fcc052735af4474364fb0c394,79.177.102.253,1215615641
1876,3,8cd4f17919a36749a5d1e66518f80532,79.182.141.28,1215616465
1877,3,29ad0c59fd135c308d8ffd011b5ab5c1,84.109.7.116,1215616851
1878,3,4607b05acc866f5539ff8ad2471efd3f,89.138.198.103,1215617271
1879,3,f3b7c11cdfcc5987711c916ca0d76fc0,77.127.188.210,1215617308
1880,3,23e3e9c9da989801e3fbcf569c55cad1,79.178.109.128,1215617309
1881,3,29ad0c59fd135c308d8ffd011b5ab5c1,84.109.7.116,1215617699
1882,3,e22c3aa37def6d4e9bfe6ec6d9966cc4,79.180.157.105,1215618694
1883,3,29ad0c59fd135c308d8ffd011b5ab5c1,84.109.7.116,1215618844
1884,3,55e75ace1472a82c0ccd6c73adae0814,87.69.50.194,1215618923
1885,3,eb442501b062cf6db23036bfea01a695,79.178.109.128,1215618996
1886,3,ff1f47531227a4da2e4546d34e66abd6,84.228.21.101,1215619931
1887,3,62c0168204000be7798092adf39ca860,80.179.208.161,1215619980
1888,3,29ad0c59fd135c308d8ffd011b5ab5c1,84.109.7.116,1215620624
1889,3,eb442501b062cf6db23036bfea01a695,79.178.109.128,1215621022
1890,3,7449b57ec70c76b2ee330df6b78186ff,199.203.15.140,1215622168
1891,3,ff4b98b3a4bb5ec17ce8986024dc0890,87.68.120.42,1215622306
1892,3,49abd91475685835cb33ef14bc4e6bdd,79.176.137.62,1215622610
1893,3,29ad0c59fd135c308d8ffd011b5ab5c1,84.109.7.116,1215624286
1894,3,5d5f8cfb1971a67eba2827d12f2b088e,199.203.13.43,1215625076
1895,3,29ad0c59fd135c308d8ffd011b5ab5c1,84.109.7.116,1215626035
